date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:17	54659/54659	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:46%20GMT	https://sb-admin-pro.startbootstrap.com/blog-management-posts-admin.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/blog-management-posts-admin.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:17	6483/6483	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:54%20GMT	https://sb-admin-pro.startbootstrap.com/multi-tenant-select.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/multi-tenant-select.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:17	67615/67615	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:57%20GMT	https://sb-admin-pro.startbootstrap.com/wizard.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/wizard.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:17	47710/47710	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:53%20GMT	https://sb-admin-pro.startbootstrap.com/layout-static.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/layout-static.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:18	47354/47354	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:52%20GMT	https://sb-admin-pro.startbootstrap.com/layout-dark.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/layout-dark.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:18	47259/47259	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:53%20GMT	https://sb-admin-pro.startbootstrap.com/layout-rtl.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/layout-rtl.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:18	47196/47196	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:52%20GMT	https://sb-admin-pro.startbootstrap.com/layout-boxed.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/layout-boxed.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:18	47477/47477	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:52%20GMT	https://sb-admin-pro.startbootstrap.com/layout-fluid.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/layout-fluid.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:18	47402/47402	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:50%20GMT	https://sb-admin-pro.startbootstrap.com/header-simplified.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/header-simplified.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:19	47274/47274	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:50%20GMT	https://sb-admin-pro.startbootstrap.com/header-compact.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/header-compact.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
20:02:19	47532/47532	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2013:21:50%20GMT	https://sb-admin-pro.startbootstrap.com/header-overlap.html	C:/My%20Web%20Sites/admindonrua/sb-admin-pro.startbootstrap.com/header-overlap.html	(from https://sb-admin-pro.startbootstrap.com/dashboard-1.html)
